tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	location	site
16tr007g	16tr007g:LP-DIR-T	16tr007g				HT	44.9	52.4	1	5	100	0.0	2.4				936	913	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007h	16tr007h:LP-DIR-T	16tr007h				HT	57.5	73.0	1	8	100	0.0	4.8				938	908	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007h	16tr007h:LP-DIR-T	16tr007h				HT	194.2	59.9	1	8	0	0.0	4.8				938	908	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007i	16tr007i:LP-DIR-T	16tr007i				HT	259.7	69.6	1	8	0	0.0	3.6				936	873	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007i	16tr007i:LP-DIR-T	16tr007i				HT	1.5	55.9	1	8	100	0.0	3.6				936	873	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007j	16tr007j:LP-DIR-T	16tr007j				HT	236.4	64.2	1	6	0	0.0	5.9				938	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007j	16tr007j:LP-DIR-T	16tr007j				HT	0.9	66.4	1	6	100	0.0	5.9				938	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007l		16tr007l																								1e-05		16tr007
16tr007m		16tr007m																								1e-05		16tr007
16tr007n		16tr007n																								1e-05		16tr007
16tr007p		16tr007p																								1e-05		16tr007
16tr007q		16tr007q																								1e-05		16tr007
16tr007r		16tr007r																								1e-05		16tr007
16tr007s		16tr007s																								1e-05		16tr007
16tr007t		16tr007t																								1e-05		16tr007
16tr007u	16tr007u:LP-DIR-T	16tr007u				HT	283.9	52.6	1	6	0	0.0	5.2				935	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007u	16tr007u:LP-DIR-T	16tr007u				HT	336.5	43.2	1	6	100	0.0	5.2				935	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007v	16tr007v:LP-DIR-T	16tr007v				HT	1.1	54.0	1	10	100	0.0	2.4				963	936	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007v	16tr007v:LP-DIR-T	16tr007v				HT	265.0	69.9	1	10	0	0.0	2.4				963	936	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007w	16tr007w:LP-DIR-T	16tr007w				HT	245.7	78.7	1	5	0	0.0	3.8				953	941	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr007
16tr007w	16tr007w:LP-DIR-T	16tr007w				HT	18.5	54.4	1	5	100	0.0	3.8				953	941	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr007
16tr007y		16tr007y																								1e-05		16tr007
16tr007z		16tr007z																								1e-05		16tr007
16tr009a	16tr009a:LP-DIR-T	16tr009a				LT	13.6	12.7	1	6	100	2.6	8.3				823	373	K		pmagpy-4.2.1: demag_gui	u	This study	:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009a	16tr009a:LP-DIR-T	16tr009a				LT	2.0	54.2	1	6	0	2.6	8.3				823	373	K		pmagpy-4.2.1: demag_gui	u	This study	:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009b	16tr009b:LP-DIR-T	16tr009b				LT	22.6	-0.4	2	4	100	33.8	7.1				773	473	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009b	16tr009b:LP-DIR-T	16tr009b				HT	11.9	-36.7	2	9	100	0.0	3.5				950	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr009
16tr009b	16tr009b:LP-DIR-T	16tr009b				LT	19.8	43.5	2	4	0	33.8	7.1				773	473	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009b	16tr009b:LP-DIR-T	16tr009b				HT	15.4	6.0	2	9	0	0.0	3.5				950	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr009
16tr009c	16tr009c:LP-DIR-T	16tr009c				HT	47.4	-22.7	1	9	100	0.0	0.9				953	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr009
